Time,PH 3M,5Y CDS,INF,ON RRP,OP,VIX
October 2018,5.098,98.026,7.1,4.5,65.31,21.23
November 2018,5.448,93.407,6.3,4.75,50.93,18.07
December 2018,5.776,88.231,5.4,4.75,45.41,25.42
January 2019,5.468,70.257,4.4,4.75,53.79,16.57
February 2019,5.588,61.051,3.8,4.75,57.22,14.78
March 2019,5.799,58.382,3.4,4.75,60.14,13.71
April 2019,5.711,50.74,3.2,4.75,63.91,13.12
May 2019,5.298,62.879,3.2,4.5,53.5,18.71
June 2019,4.46,48.984,2.7,4.5,58.47,15.08
July 2019,3.838,45.19,2.2,4.5,58.58,16.12
August 2019,3.319,48.208,1.4,4.25,55.1,18.98
September 2019,3.102,48.077,0.5,4,54.07,16.24
October 2019,3.172,39.836,0.6,4,54.18,13.22
November 2019,3.178,40.152,1.2,4,55.17,12.62
December 2019,3.204,33.54,2.4,4,61.06,13.78
January 2020,3.303,41.524,3,4,51.56,18.84
February 2020,3.076,54.88,2.5,3.75,44.76,40.11
March 2020,3.29,104.411,2.2,3.25,20.48,53.54
April 2020,2.974,80.481,1.8,2.75,18.84,34.15
May 2020,2.08,74.954,1.6,2.75,35.49,27.51
June 2020,1.903,65.583,2.3,2.25,39.27,30.43
July 2020,1.429,55.653,2.4,2.25,40.27,24.46
August 2020,1.203,44.903,2.2,2.25,42.61,26.41
September 2020,1.165,55.95,2.2,2.25,40.22,26.37
October 2020,1.14,46.838,2.3,2.25,35.79,38.02
November 2020,1.131,35.966,3,2,45.34,20.57
December 2020,1.117,35.554,3.3,2,48.52,22.75
January 2021,1.091,41.843,3.7,2,52.2,33.09
February 2021,0.9962,40.836,4.2,2,61.5,27.95
March 2021,1.2839,44.758,4.1,2,59.16,19.4
April 2021,1.3458,46.042,4.1,2,63.58,18.61
May 2021,1.3221,46.224,4.1,2,66.32,16.76
June 2021,1.1717,43.562,3.7,2,73.47,15.83
July 2021,1.1292,50.93,3.7,2,73.95,18.24
August 2021,1.1414,44.393,4.4,2,68.5,16.48
September 2021,1.1266,51.559,4.2,2,75.03,23.14
October 2021,1.2131,56.542,4,2,83.57,16.26
November 2021,1.2434,68.64,3.7,2,66.18,27.19
December 2021,1.0945,56.126,3.1,2,75.21,17.22
January 2022,0.7496,72.727,3,2,88.15,24.83
February 2022,1.1917,95.723,3,2,95.72,30.15
March 2022,1.3416,78.674,4,2,100.28,20.56
April 2022,1.2501,110.681,4.9,2,104.69,33.4
May 2022,1.4375,95.443,5.4,2,114.67,26.19
June 2022,11.7387,129.583,6.1,2.5,105.76,28.71
July 2022,2.2683,104.14,6.4,3.25,98.62,21.33
August 2022,2.2535,101.29,6.3,3.75,89.55,25.87
September 2022,3.153,149.629,6.9,4.25,79.49,31.62
October 2022,3.7503,126.85,7.7,4.25,86.53,25.88
November 2022,4.2407,92.338,8,5,80.55,20.58
December 2022,4.2269,97.112,8.1,5.5,80.26,21.67
